Codigo,Nome,Ementa
ENE0172,CIRCUITOS ELETRICOS 1 - 90h,Conceitos básicos. Circuitos resistivos. Técnicas de análise nodal e de malhas. Técnicas adicionais de análise. Capacitância e indutância. Análise de circuitos de primeira e segunda ordens. Análise de circuitos em regime permanente senoidal. Análise de potência em regime permanente senoidal.
ENE0229,INSTALAÇÕES ELETRICAS - 90h,Conceitos básicos.Lei de Ohm.Leis de Kirchhoff.Circuitos resistivos.Técnicas de análise nodal e de laço.Amplificadores Operacionais.Princípio da superposição.Teoremas de Thévenin e de Norton.
ENE0243,ELETRICIDADE - 90h,"ANALISE DE CIRCUITOS EM REGIME PERMANENTE. REPRESENTACAO FASORIAL DE SENOIDES: VOLOR MEDIO E VALOR EFICAZ. POTENCIA E SUA CORRECAO. MEDI- DAS DE TENSOES, CORRENTES, RESISTENCIA. MEDIDA DE POTENCIA. CONTROLE DE MOTORES ELETRICOS. CIRCUITOS COM INTERVAMENTO. CIRCUITOS COM TEMPORIZA- CAO. DINAMICA DOS ACIONAMENTOS COM MOTORES ELETRICOS. AQUECIMENTO, VEN- TILACAO E REGIMES DE SERVICO DE MOTORES ELETRICOS. ESCOLHA DE MOTORES ELETRICOS."
ENE0273,PLANEJAMENTO ENERGETICO - 60h,INFLUÊNCIA DA EVOLUÇÃO DA SOCIEDADE NO CONSUMO DE ENERGIA. FONTES DE ENERGIA. ENERGIA VERSUS ECOLOGIA. ANÁLISE ECONÔMICA DAS OPÇÕES ENERGÉTICAS. EVOLUÇÃO DA SOCIEDADE EM FUNÇÃO DO PLANEJAMENTO ENERGÉTICO. ALTERNATIVAS ENERGÉTICAS PARA O BRASIL.
ENE0274,FUNDAMENTOS DE REDES - 60h,Princípios de Telecomunicações Introdução às Redes de Comunicação e à Internet Pilhas de Protocolos e seus modelos de serviços Camada de Aplicação Camada de Transporte Camada de Rede Camada de Enlace.
ENE0289,CIRCUITOS POLIFASICOS - 60h,"CIRCUITOS POLIFASICOS, VALORES PERCENTUAIS E POR-UNIDADE, COMPO- NENTES SIMETRICAS, CALCULO DE CURTO-CIRCUITOS SIMETRICOS, CALCULO DE CURTO-CIRCUITOS ASSIMETRICOS."
ENE0304,CIRCUITOS ELÉTRICOS - 60h,Capacitância e indutância.Análise de circuitos de 1ª e 2ª ordem.Análise de circuitos em regime permanente senoidal.Potência em regime permanente senoidal.Circuitos com acoplamento magnético.Desempenho dos circuitos em função da frequência.Aplicação da transformada de Laplace na análise de circuitos.Aplicação das séries e da transformada de Fourier na análise de circuitos.Quadripolos.
ENE0334,COMPUTACAO PARA ENGENHARIA - 60h,"Construção de algoritmos e sua representação em pseudocódigo e linguagens de alto nível. Princípios de programação procedimental. Tipos de dados. Operadores. Estruturas de controle. Modularização e funções. Coleções de dados (arranjos, registros). Operações de entrada e saída. Ponteiros. Implementação de programas computacionais em linguagem de programação de alto nível. Princípios e boas práticas de codificação, teste, depuração e documentação."
ENM0002,INTRODUÇÃO À EXPLORAÇÃO DE PETRÓLEO EM ALTO MAR - 30h,
ENM0027,TECNOLOGIAS DE COMANDO NUMERICO - 60h,"CONCEITUAÇÃO DE UM SISTEMA DE COMANDO NUMÉRICO## => PRINCÍPIOS DE FUNCIONAMENTO## => SISTEMAS DE ACIONAMENTO## => CONTROLE DE POSIÇÃO, ARMAZENAMENTO DAS INFORMAÇÕES, ETC## => EQUIPAMENTOS QUE UTILIZAM SISTEMAS DE COMANDO NUMÉRICO## => DIVERSOS TIPOS DE APLICAÇÕES## => CARACTERÍSTICAS PECULIARES DOS COMPONENTES MECÂNICOS EELETRÔNICOS## => NOÇÕES DE INTERLIGAÇÃO ENTRE DIVERSOS EQUIPAMENTOS E COMSISTEMAS DE INFORMAÇÃO## => PROGRAMAÇÃO MANUAL## => PROGRAMAÇÃO ASSISTIDA POR COMPUTADOR## => APT CAD/CAM."
