id,codigo,nome,semestre,horas,requisitos,corequisitos,area,tipo,horario
deg0200,DEG0200,ATIVIDADE COMPLEMENTAR,98,15,,,humanas,OPT,Não Ofertada
deg0201,DEG0201,ATIVIDADE COMPLEMENTAR,98,30,,,humanas,OPT,Não Ofertada
deg0202,DEG0202,ATIVIDADE COMPLEMENTAR,98,45,,,humanas,OPT,Não Ofertada
deg0203,DEG0203,ATIVIDADE COMPLEMENTAR,98,60,,,humanas,OPT,Não Ofertada
deg0205,DEG0205,ATIVIDADE COMPLEMENTAR,98,90,,,humanas,OPT,Não Ofertada
deg0206,DEG0206,ATIVIDADE COMPLEMENTAR,98,120,,,humanas,OPT,Não Ofertada
deg0207,DEG0207,ATIVIDADE COMPLEMENTAR,98,150,,,humanas,OPT,Não Ofertada
deg0208,DEG0208,ATIVIDADE COMPLEMENTAR,98,180,,,humanas,OPT,Não Ofertada
deg0209,DEG0209,ATIVIDADE COMPLEMENTAR,98,210,,,humanas,OPT,Não Ofertada
ecl0042,ECL0042,MEIO AMBIENTE FÍSICO E ECOSSISTEMAS,98,60,,,humanas,OPT,Não Ofertada
eco0061,ECO0061,ECONOMIA REGIONAL,98,60,,,humanas,OPT,Não Ofertada
efl0010,EFL0010,INICIACAO A ENGENHARIA FLORESTAL,98,15,,,humanas,OPT,Não Ofertada
enc0054,ENC0054,GEOMETRIA DESCRITIVA,98,60,,,humanas,OPT,Não Ofertada
ene0172,ENE0172,CIRCUITOS ELETRICOS 1,98,90,,,humanas,OPT,Não Ofertada
ene0229,ENE0229,INSTALAÇÕES ELETRICAS,98,90,,,humanas,OPT,Não Ofertada
ene0243,ENE0243,ELETRICIDADE,98,90,,,humanas,OPT,Não Ofertada
ene0273,ENE0273,PLANEJAMENTO ENERGETICO,98,60,,,humanas,OPT,Não Ofertada
enm0002,ENM0002,INTRODUÇÃO À EXPLORAÇÃO DE PETRÓLEO EM ALTO MAR,98,30,,,humanas,OPT,Não Ofertada
enm0163,ENM0163,MECANICA GERAL,98,90,,,humanas,OPT,Não Ofertada
enm0174,ENM0174,SISTEMAS ENERGETICOS,98,60,,,humanas,OPT,Não Ofertada
enm0176,ENM0176,INTRODUÇÃO A ECOLOGIA INDUSTRIAL,98,60,,,humanas,OPT,Não Ofertada
